CountryName,CountryCode,SeriesName,SeriesCode,2010[YR2010],2011[YR2011],2012[YR2012],2013[YR2013],2014[YR2014]
Sao Tome and Principe,STP,  Labor force- female (% of total labor force)  ,SL.TLF.TOTL.FE.ZS,37.2926035,37.45301458,37.52756518,37.60074298,.. 
Sao Tome and Principe,STP,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,..,..,..,..,..
Sao Tome and Principe,STP,Surface area (sq. km),AG.SRF.TOTL.K2,960,960,960,960,960
Sao Tome and Principe,STP,Population density (people per sq. km of land area),EN.POP.DNST,178,181.9229167,185.9208333,189.9854167,194.10625
Sao Tome and Principe,STP,Arable land (% of land area),AG.LND.ARBL.ZS,8.854166667,9.0625,9.0625,9.0625,..
Sao Tome and Principe,STP,  Unemployment- total (% of total labor force) (modeled ILO estimate)  ,SL.UEM.TOTL.ZS,..,..,..,..,.. 
Sao Tome and Principe,STP,  Unemployment- female (% of female labor force) (modeled ILO estimate)  ,SL.UEM.TOTL.FE.ZS,..,..,..,..,.. 
St. Vincent and the Grenadines,VCT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.365069493,-0.480673797,1.165562972,1.795450237,-0.451725793
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,681370666.7,677039407.4,694445888.9,718879481.5,728696703.7
St. Vincent and the Grenadines,VCT,Internet users (per 100 people),IT.NET.USER.P2,38.5,43.01,47.52,52,56.48
St. Vincent and the Grenadines,VCT,Rural population,SP.RUR.TOTL,55986,55611,55219,54830,54461
St. Vincent and the Grenadines,VCT,  Population- female (% of total)  ,SP.POP.TOTL.FE.ZS,49.50327491,49.50933319,49.51524686,49.52299066,49.53182151
